date,iPhone 16 review
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,1
2022-09-11,4
2022-09-18,2
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,1
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,1
2023-09-17,0
2023-09-24,1
2023-10-01,1
2023-10-08,1
2023-10-15,1
2023-10-22,0
2023-10-29,1
2023-11-05,0
2023-11-12,1
2023-11-19,1
2023-11-26,1
2023-12-03,0
2023-12-10,1
2023-12-17,0
2023-12-24,1
2023-12-31,1
2024-01-07,1
2024-01-14,1
2024-01-21,1
2024-01-28,1
2024-02-04,1
2024-02-11,2
2024-02-18,1
2024-02-25,1
2024-03-03,1
2024-03-10,1
2024-03-17,1
2024-03-24,2
2024-03-31,1
2024-04-07,2
2024-04-14,1
2024-04-21,1
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
2024-07-07,2
2024-07-14,2
2024-07-21,2
2024-07-28,2
2024-08-04,3
2024-08-11,3
2024-08-18,4
2024-08-25,5
2024-09-01,5
2024-09-08,60
2024-09-15,64
2024-09-22,55
2024-09-29,32
2024-10-06,27
2024-10-13,22
2024-10-20,22
2024-10-27,20
2024-11-03,16
2024-11-10,17
2024-11-17,18
2024-11-24,24
2024-12-01,20
2024-12-08,15
2024-12-15,15
2024-12-22,17
2024-12-29,18
2025-01-05,15
2025-01-12,13
2025-01-19,13
2025-01-26,13
2025-02-02,13
2025-02-09,12
2025-02-16,14
2025-02-23,17
2025-03-02,16
2025-03-09,15
2025-03-16,14
2025-03-23,13
2025-03-30,13
2025-04-06,16
2025-04-13,14
2025-04-20,12
2025-04-27,11
2025-05-04,11
2025-05-11,11
2025-05-18,11
2025-05-25,12
2025-06-01,14
2025-06-08,15
2025-06-15,14
2025-06-22,13
2025-06-29,12
2025-07-06,14
2025-07-13,34
2025-07-20,56
2025-07-27,100
